SEQ,접수일,접수시각,장기서비스여부,최초서비스일,전체회차,현재회차,서비스일자,서비스시작시간,서비스종료시간,기존고객여부,결재형태,서비스주소,주거형태,평수,고객가입일,반려동물,부재중여부,우선청소,쿠폰사용여부,매니저생년월일,매니저성별,매니저사용휴대폰,매니저이동방법,근무가능지역,CS교육이수여부,청소교육이수여부,부재중서비스가능여부,추천인여부
T39271,2021-03-08,10:51:09,1,2021-03-12,4,2,2021-03-19,9:00:00,13:00:00,0,무통장입금,서울 도봉구,일반주택,30평대,2021-03-12,개,1,화장실,0,1961,0,안드로이드,대중교통,원주/춘천,0,0,1,0
T41542,2020-08-12,,1,2020-08-24,4,1,2020-08-24,9:00:00,13:00:00,1,무통장입금,서울 강서구,일반주택,30평대,2020-02-06,없음,0,방,0,1969,0,안드로이드,대중교통,천안/아산,0,0,1,0
T50042,2021-06-30,17:55:45,1,2021-07-06,8,2,2021-07-09,9:00:00,13:00:00,0,신용카드,서울 강북구,일반주택,20평대,2021-07-09,개,1,거실,0,1970,0,안드로이드,대중교통,천안/아산,0,0,0,0
T40012,2020-09-03,,1,2020-09-09,4,3,2020-09-23,9:00:00,13:00:00,1,무통장입금,서울 은평구,일반주택,30평대,2020-09-09,없음,0,방,0,1967,0,안드로이드,대중교통,서울,1,1,1,0
T37939,2020-11-09,,1,2020-11-09,4,4,2020-11-30,9:00:00,14:00:00,1,무통장입금,서울 강서구,일반주택,30평대,2020-02-06,없음,0,방,0,1964,0,안드로이드,대중교통,서울,1,1,1,0
T37426,2021-01-07,17:38:46,1,2021-01-13,4,1,2021-01-13,9:00:00,13:00:00,1,신용카드,서울 동대문구,일반주택,40평대이상,2020-11-18,없음,0,,0,1962,0,안드로이드,대중교통,기타,0,0,1,0
T32631,2021-09-29,7:59:31,0,2021-10-18,1,1,2021-10-18,11:00:00,13:00:00,1,무통장입금,서울 관악구,일반주택,10평대,,없음,0,화장실,0,1955,0,안드로이드,대중교통,기타,1,1,1,0
T44097,2021-05-04,,1,2021-05-13,4,1,2021-05-13,11:00:00,15:00:00,1,신용카드,경기 평택시,일반주택,30평대,2020-09-11,없음,1,,0,1969,0,안드로이드,대중교통,기타,0,0,1,0
T46616,2021-05-06,14:12:13,1,2021-05-13,4,2,2021-05-27,9:00:00,13:00:00,1,가상계좌,경기 평택시,일반주택,40평대이상,2021-04-29,개,1,주방,0,1959,0,안드로이드,대중교통,평택,1,1,1,0
T44872,2020-09-04,,1,2020-09-11,4,3,2020-09-25,9:00:00,13:00:00,1,신용카드,경기 평택시,일반주택,30평대,2020-09-11,없음,1,,0,1983,0,ios,대중교통,기타,0,1,1,0
T54006,2021-06-10,,1,2021-06-17,4,1,2021-06-17,9:00:00,13:00:00,1,가상계좌,경기 평택시,일반주택,40평대이상,2021-04-29,개,1,주방,0,1962,0,안드로이드,자차,평택,1,1,1,0
T36380,2021-09-16,,1,2021-09-23,4,1,2021-09-23,9:00:00,13:00:00,1,가상계좌,경기 평택시,일반주택,40평대이상,2021-09-23,개,1,주방,0,1970,0,안드로이드,대중교통,천안/아산,0,0,0,0
T55100,2021-03-01,1:51:13,1,2021-03-08,4,2,2021-03-15,9:00:00,13:00:00,1,신용카드,경기 평택시,일반주택,30평대,2021-03-08,없음,1,주방,0,1973,0,ios,자차,기타,0,0,1,0
T51056,2020-09-04,,1,2020-09-11,4,1,2020-09-11,9:00:00,13:00:00,1,신용카드,경기 평택시,일반주택,30평대,2020-09-11,없음,1,,0,1966,0,안드로이드,자차,기타,0,0,1,0
T30586,2020-05-21,,1,2020-05-26,4,1,2020-05-26,14:00:00,18:00:00,0,신용카드,경기 평택시,일반주택,20평대,2020-05-26,없음,0,화장실,0,1980,0,안드로이드,대중교통,수도권,0,0,0,0
T50711,2020-05-21,,1,2020-05-26,4,2,2020-06-09,14:00:00,18:00:00,0,신용카드,경기 평택시,일반주택,20평대,2020-05-26,없음,0,화장실,0,1969,0,안드로이드,대중교통,기타,0,0,1,0
T33208,2021-06-04,14:54:02,1,2021-06-10,4,1,2021-06-10,9:00:00,13:00:00,0,신용카드,경기 의정부시,일반주택,30평대,2021-06-10,없음,0,거실,0,1956,0,안드로이드,대중교통,서울,0,0,1,0
T47682,2021-03-01,1:51:13,1,2021-03-08,4,1,2021-03-08,9:00:00,13:00:00,1,신용카드,경기 평택시,일반주택,30평대,2021-03-08,없음,1,주방,0,1969,0,안드로이드,대중교통,천안/아산,0,0,1,0
T33337,2021-10-18,15:56:00,0,2021-10-20,1,1,2021-10-20,14:00:00,18:00:00,1,무통장입금,경기 평택시,일반주택,20평대,,개,1,거실,0,1955,0,안드로이드,대중교통,평택,0,0,1,0
T50380,2019-08-26,,1,2019-09-18,4,1,2019-09-18,9:00:00,13:00:00,1,무통장입금,강원 원주시,일반주택,,2019-06-24,없음,,,0,1970,0,안드로이드,대중교통,천안/아산,0,0,0,0
T51726,2021-05-13,20:19:21,0,2021-05-18,1,1,2021-05-18,9:00:00,13:00:00,0,신용카드,강원 원주시,일반주택,40평대이상,2021-05-18,없음,0,거실,0,1974,0,안드로이드,자차,원주/춘천,0,0,1,0
T42180,2021-06-28,15:55:24,1,2021-07-19,4,2,2021-07-26,9:00:00,13:00:00,1,가상계좌,강원 원주시,일반주택,20평대,2021-04-07,없음,0,화장실,0,1961,0,안드로이드,대중교통,천안/아산,0,0,1,0
T54848,2019-11-22,,1,2019-11-29,4,1,2019-11-29,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,,2019-08-23,,,,0,1961,0,,자차,원주/춘천,,,1,0
T45622,2020-07-13,,1,2020-07-20,4,2,2020-07-27,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,30평대,2020-06-22,없음,1,주방,0,1962,0,안드로이드,대중교통,기타,0,0,1,0
T51375,2019-08-23,,1,2019-08-30,4,2,2019-09-06,9:00:00,13:00:00,1,무통장입금,강원 원주시,일반주택,,2019-08-23,없음,,,0,1959,0,안드로이드,자차,천안/아산,0,1,1,0
T49159,2021-08-11,,1,2021-08-13,5,3,2021-08-27,9:00:00,13:00:00,1,무통장입금,강원 원주시,일반주택,30평대,2020-11-19,기타,0,거실,0,1968,0,,대중교통,천안/아산,,,0,0
T49928,2021-06-29,9:56:37,1,2021-07-08,4,2,2021-07-15,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,30평대,2020-06-22,없음,0,주방,0,1974,0,안드로이드,자차,천안/아산,1,1,1,0
T39277,2021-02-05,,1,2021-02-19,4,3,2021-03-05,9:00:00,14:00:00,1,신용카드,강원 원주시,일반주택,30평대,2020-11-20,없음,0,방,0,1964,0,안드로이드,대중교통,원주/춘천,0,0,1,0
T48942,2021-07-12,,1,2021-07-20,4,1,2021-07-20,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,20평대,2021-06-22,고양이,1,화장실,0,1965,0,안드로이드,대중교통,원주/춘천,1,1,1,0
T33153,2021-09-15,20:34:49,1,2021-09-23,4,1,2021-09-23,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,30평대,2020-06-22,없음,0,주방,0,1966,0,안드로이드,대중교통,기타,1,1,1,0
T42063,2019-10-22,,0,2019-10-25,1,1,2019-10-25,9:00:00,13:00:00,1,무통장입금,강원 춘천시,일반주택,,2019-09-30,없음,,,0,1969,0,안드로이드,대중교통,천안/아산,0,0,0,0
T54569,2021-03-10,20:32:28,1,2021-03-12,4,2,2021-03-26,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,30평대,2020-03-11,없음,1,거실,0,1964,0,안드로이드,대중교통,원주/춘천,0,0,1,0
T41052,2020-10-05,,1,2020-10-12,4,1,2020-10-12,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,30평대,2020-06-22,없음,0,주방,0,1966,0,안드로이드,대중교통,기타,1,1,1,0
T37225,2021-06-28,15:55:24,1,2021-07-19,4,2,2021-07-26,9:00:00,13:00:00,1,가상계좌,강원 원주시,일반주택,20평대,2021-04-07,없음,0,화장실,0,1971,0,안드로이드,대중교통,천안/아산,0,0,1,0
T30049,2021-10-17,18:18:55,0,2021-10-22,1,1,2021-10-22,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,40평대이상,2019-10-25,없음,1,주방,0,1961,0,안드로이드,대중교통,원주/춘천,0,0,1,1
T46264,2020-11-24,,1,2020-12-01,4,1,2020-12-01,14:00:00,18:00:00,1,신용카드,충남 천안시,오피스텔/원룸,30평대,2020-09-02,없음,0,주방,0,1968,0,,대중교통,천안/아산,,,0,0
T43215,2019-05-27,,0,2019-05-29,1,1,2019-05-29,15:00:00,18:00:00,1,신용카드,충남 천안시,오피스텔/원룸,,2019-05-23,,,,0,1962,0,안드로이드,자차,평택,1,1,1,0
T43440,2020-12-09,,1,2020-12-16,4,1,2020-12-16,9:00:00,13:00:00,1,신용카드,충남 아산시,오피스텔/원룸,40평대이상,2020-08-05,없음,0,화장실,0,1961,0,안드로이드,대중교통,천안/아산,0,0,1,0
T50699,2019-07-19,,1,2019-07-26,4,4,2019-08-23,14:00:00,17:00:00,1,무통장입금,충남 천안시,오피스텔/원룸,,2019-04-27,없음,,,0,1967,0,안드로이드,자차,천안/아산,1,1,1,0
T44724,2021-08-20,,1,2021-08-27,4,1,2021-08-27,9:00:00,13:00:00,1,무통장입금,충남 천안시,오피스텔/원룸,20평대,2019-07-31,없음,1,주방,0,1957,0,기타,자차,부산,0,0,1,0
T42373,2019-05-30,,0,2019-06-01,1,1,2019-06-01,10:00:00,12:00:00,1,무통장입금,충남 천안시,오피스텔/원룸,,2019-05-16,,,,0,1961,0,안드로이드,대중교통,천안/아산,0,0,1,0
T43669,2019-09-03,,0,2019-09-06,1,1,2019-09-06,9:00:00,13:00:00,1,신용카드,충남 천안시,오피스텔/원룸,,2019-06-27,기타,,,0,1971,0,안드로이드,대중교통,천안/아산,0,0,1,0
T31409,2021-06-01,,1,2021-06-02,9,1,2021-06-02,14:00:00,16:00:00,1,무통장입금,충남 천안시,오피스텔/원룸,20평대,2021-04-07,없음,0,주방,0,1973,0,,대중교통,천안/아산,,,1,0
T43076,2020-09-03,,0,2020-09-04,1,1,2020-09-04,14:00:00,18:00:00,1,신용카드,충남 천안시,오피스텔/원룸,10평대,2020-09-04,없음,1,거실,0,1971,0,안드로이드,대중교통,천안/아산,1,1,1,0
T38273,2021-10-18,10:08:13,1,2021-10-27,4,2,2021-11-10,14:00:00,18:00:00,0,가상계좌,충남 천안시,오피스텔/원룸,40평대이상,,없음,0,화장실,0,1970,0,안드로이드,대중교통,천안/아산,0,0,0,0
T31896,2020-07-13,,1,2020-07-20,4,2,2020-07-27,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,30평대,2020-06-22,없음,1,주방,0,1979,0,안드로이드,대중교통,수도권,0,0,1,0
T49982,2021-05-13,,1,2021-05-20,5,2,2021-05-27,9:00:00,13:00:00,1,무통장입금,강원 원주시,일반주택,30평대,2020-11-19,기타,0,거실,0,1954,0,안드로이드,대중교통,원주/춘천,0,0,1,0
T45750,2021-06-04,,1,2021-06-11,4,3,2021-06-25,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,30평대,2021-04-23,없음,0,화장실,0,1969,0,안드로이드,대중교통,기타,0,0,1,0
T55149,2020-10-12,,1,2020-11-02,4,3,2020-11-09,14:00:00,18:00:00,1,신용카드,강원 원주시,일반주택,30평대,2020-10-19,없음,0,방,0,1964,0,안드로이드,대중교통,원주/춘천,0,0,1,0
T36170,2020-12-24,,1,2021-01-08,4,1,2021-01-08,9:00:00,14:00:00,1,신용카드,강원 원주시,일반주택,30평대,2019-08-23,없음,0,방,0,1968,0,안드로이드,자차,원주/춘천,1,1,1,0
T37905,2021-04-14,,1,2021-04-20,6,1,2021-04-20,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,20평대,2021-04-20,없음,1,거실,0,1966,0,안드로이드,자차,기타,0,0,1,0
T57243,2020-12-24,,1,2021-01-08,4,1,2021-01-08,9:00:00,14:00:00,1,신용카드,강원 원주시,일반주택,30평대,2019-08-23,없음,0,방,0,1963,0,,대중교통,천안/아산,,,1,0
T54063,2019-09-23,,1,2019-09-27,4,1,2019-09-27,13:00:00,17:00:00,1,무통장입금,강원 원주시,일반주택,,2019-08-21,없음,,,0,1976,0,안드로이드,대중교통,천안/아산,1,1,1,0
T43905,2020-07-13,,1,2020-07-20,4,2,2020-07-27,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,30평대,2020-06-22,없음,1,주방,0,1954,0,안드로이드,대중교통,원주/춘천,0,0,1,0
T34181,2021-04-01,,1,2021-04-08,5,3,2021-04-22,9:00:00,13:00:00,1,무통장입금,강원 원주시,일반주택,30평대,2020-11-19,기타,0,거실,0,1974,0,안드로이드,자차,원주/춘천,0,0,1,0
T43025,2020-04-29,,1,2020-05-11,4,2,2020-05-18,14:00:00,18:00:00,1,가상계좌,강원 원주시,일반주택,40평대이상,2019-12-05,없음,0,화장실,0,1955,0,안드로이드,대중교통,기타,0,0,1,0
T37427,2020-11-10,,1,2020-11-18,4,2,2020-11-25,14:00:00,18:00:00,1,무통장입금,강원 원주시,일반주택,40평대이상,2019-12-12,개,0,,0,1955,0,안드로이드,대중교통,기타,0,0,1,0
T44847,2021-07-07,9:15:22,1,2021-07-12,4,1,2021-07-12,9:00:00,13:00:00,1,무통장입금,강원 원주시,일반주택,30평대,2021-07-08,없음,1,주방,0,1961,0,,자차,원주/춘천,,,1,0
T48682,2020-06-01,,1,2020-06-04,4,2,2020-06-11,9:00:00,14:00:00,0,신용카드,강원 춘천시,일반주택,30평대,2020-06-04,없음,1,화장실,0,1961,0,,자차,원주/춘천,,,1,0
T50856,2020-11-10,,1,2020-11-17,7,2,2020-11-26,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,30평대,2020-06-23,없음,1,거실,0,1985,0,,자차,천안/아산,,,1,0
T43357,2021-07-12,,1,2021-07-20,4,1,2021-07-20,9:00:00,13:00:00,1,신용카드,강원 원주시,일반주택,20평대,2021-06-22,고양이,1,화장실,0,1985,0,,자차,천안/아산,,,1,0
T33823,2021-10-18,14:19:51,0,2021-10-20,1,1,2021-10-20,14:00:00,18:00:00,1,신용카드,강원 원주시,일반주택,20평대,2020-10-14,없음,0,주방,0,1961,0,안드로이드,대중교통,원주/춘천,0,0,1,0
T47949,2019-10-28,,1,2019-10-31,4,1,2019-10-31,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,,2019-04-11,없음,,,1,1961,0,안드로이드,대중교통,천안/아산,0,0,1,0
T46929,2020-12-31,,1,2021-01-04,8,2,2021-01-07,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,40평대이상,2020-02-13,없음,0,방,0,1961,0,안드로이드,대중교통,천안/아산,0,0,1,0
T40306,2020-11-03,,0,2020-11-05,1,1,2020-11-05,9:00:00,18:00:00,0,신용카드,충남 천안시,일반주택,30평대,2020-11-05,없음,1,방,0,1967,0,안드로이드,자차,천안/아산,1,1,1,0
T38449,2019-07-29,,0,2019-07-30,1,1,2019-07-30,9:00:00,15:00:00,1,무통장입금,충남 아산시,일반주택,,2019-07-27,기타,,,0,1966,0,안드로이드,대중교통,천안/아산,0,0,1,0
T52273,2021-03-31,12:22:02,1,2021-04-09,4,1,2021-04-09,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,30평대,2019-10-04,없음,0,화장실,1,1967,0,안드로이드,자차,천안/아산,1,1,1,0
T44731,2019-12-11,,1,2019-12-18,9,2,2019-12-24,9:00:00,13:00:00,1,신용카드,충남 아산시,일반주택,,2019-06-12,,,,0,1964,0,기타,자차,천안/아산,0,0,0,0
T31621,2019-06-19,,1,2019-06-26,4,2,2019-07-03,9:00:00,13:00:00,1,무통장입금,충남 천안시,일반주택,,2019-04-17,,,,0,1969,0,안드로이드,대중교통,천안/아산,0,0,1,0
T41332,2019-04-29,,1,2019-05-03,4,1,2019-05-03,14:00:00,18:00:00,0,신용카드,충남 천안시,일반주택,,2019-05-03,,,,0,1970,0,안드로이드,자차,천안/아산,0,0,1,0
T48575,2021-10-13,,1,2021-10-21,4,1,2021-10-21,14:00:00,18:00:00,1,신용카드,충남 천안시,일반주택,30평대,2020-06-22,없음,0,,0,1959,0,안드로이드,자차,천안/아산,0,1,1,0
T43948,2019-10-01,,1,2019-10-08,4,1,2019-10-08,15:00:00,18:00:00,1,신용카드,서울 마포구,오피스텔/원룸,,2019-10-01,기타,,,0,1974,0,안드로이드,자차,천안/아산,1,1,1,0
T40631,2021-08-29,20:47:59,1,2021-09-09,2,2,2021-09-16,10:00:00,12:00:00,0,가상계좌,서울 강동구,오피스텔/원룸,10평대,2021-09-09,고양이,1,화장실,0,1964,0,안드로이드,대중교통,서울,0,0,1,0
T32812,2020-11-02,,1,2020-11-16,4,1,2020-11-16,14:00:00,16:00:00,1,무통장입금,서울 용산구,오피스텔/원룸,30평대,2020-04-09,없음,0,,0,1966,0,안드로이드,대중교통,천안/아산,0,0,1,0
T42793,2019-10-01,,1,2019-10-08,4,4,2019-10-29,15:00:00,18:00:00,1,신용카드,서울 마포구,오피스텔/원룸,,2019-10-01,기타,,,0,1970,0,안드로이드,대중교통,천안/아산,0,0,0,0
T48233,2020-07-01,,1,2020-07-08,4,1,2020-07-08,11:00:00,14:00:00,1,무통장입금,서울 영등포구,오피스텔/원룸,10평대,2020-04-17,없음,0,방,0,1971,0,안드로이드,대중교통,서울,0,0,1,0
T57230,2020-03-26,,1,2020-04-09,4,2,2020-04-16,10:00:00,12:00:00,1,가상계좌,서울 용산구,오피스텔/원룸,,2020-04-09,없음,,,0,1956,0,안드로이드,대중교통,서울,0,0,1,0
T34589,2020-06-02,,1,2020-06-09,4,3,2020-06-23,15:00:00,18:00:00,1,무통장입금,서울 마포구,오피스텔/원룸,40평대이상,2020-06-23,없음,0,,0,1969,0,안드로이드,대중교통,서울,0,0,1,0
T38560,2020-07-15,,1,2020-07-17,6,4,2020-08-17,14:00:00,16:00:00,1,신용카드,서울 중구,오피스텔/원룸,10평대,2020-02-01,없음,1,거실,0,1970,0,안드로이드,대중교통,천안/아산,0,0,0,0
T38135,2019-10-01,,1,2019-10-08,4,1,2019-10-08,15:00:00,18:00:00,1,신용카드,서울 마포구,오피스텔/원룸,,2019-10-01,기타,,,0,1967,0,안드로이드,대중교통,서울,1,1,1,0
T35970,2020-07-15,,1,2020-07-17,6,1,2020-07-17,14:00:00,16:00:00,1,신용카드,서울 중구,오피스텔/원룸,10평대,2020-02-01,없음,1,거실,0,1970,0,안드로이드,자차,천안/아산,0,0,1,0
T52101,2021-07-30,,1,2021-08-06,8,4,2021-08-27,14:00:00,16:00:00,1,신용카드,서울 용산구,오피스텔/원룸,10평대,2021-06-25,없음,1,주방,0,1964,0,기타,자차,천안/아산,0,0,0,0
T38430,2020-05-01,,1,2020-05-06,4,2,2020-05-14,14:00:00,16:00:00,1,가상계좌,서울 용산구,오피스텔/원룸,,2020-04-09,,,,0,1970,0,안드로이드,자차,천안/아산,0,0,1,0
T56842,2020-09-16,,1,2020-09-18,4,2,2020-09-28,14:00:00,16:00:00,1,신용카드,서울 중구,오피스텔/원룸,10평대,2020-02-01,없음,1,거실,0,1959,0,,,서울,,,1,0
T40212,2020-08-03,,1,2020-09-10,3,2,2020-09-14,15:00:00,17:00:00,1,무통장입금,서울 용산구,오피스텔/원룸,30평대,2020-04-09,없음,0,,0,1968,0,ios,대중교통,서울,1,1,1,0
